Gate Type,Fan-In,Fan-Out,Total Gate Count,Critical Path,Logic Depth
NOT,2,3,19360,7,5
XOR,1,3,21604,5,7
OR,5,1,17310,8,7
NAND,1,2,15639,8,5
NOT,1,4,18489,8,7
NOT,2,4,21385,5,6
NAND,3,1,24849,5,3
NAND,4,4,23332,6,9
OR,4,4,17935,6,8
XOR,5,3,16789,7,9
NOT,1,4,20472,6,4
XOR,5,2,20717,10,6
AND,1,3,16454,9,3
AND,5,3,15595,6,7
AND,4,3,23237,7,3
AND,3,1,15352,10,9
AND,5,3,18255,6,3
NAND,2,3,15641,10,3
NOT,5,4,20291,5,5
NOT,1,1,22348,9,7
NAND,2,3,17901,10,7
NAND,1,3,22580,7,6
XOR,4,3,19900,8,8
XOR,4,1,16886,8,7
OR,3,3,22205,5,8
OR,2,4,16764,7,6
NAND,1,1,19677,6,8
AND,3,2,23781,8,4
NAND,2,2,21740,6,3
OR,1,2,17816,10,7
XOR,3,2,16943,5,7
AND,5,4,18390,7,4
NAND,5,3,19970,7,5
OR,3,2,21054,10,7
AND,4,4,23240,9,8
NAND,1,1,18953,10,6
NAND,4,1,24328,6,9
NAND,3,4,17863,9,8
NAND,3,4,16043,7,8
NOT,4,2,24511,5,9
XOR,5,2,15615,9,4
NOT,5,4,22737,8,8
OR,3,1,19143,5,9
AND,1,1,23366,8,6
XOR,3,4,18476,9,4
NOT,3,4,20698,8,3
OR,1,4,22487,8,6
XOR,2,1,19540,7,5
OR,1,1,18229,5,3
XOR,3,1,17073,9,5
XOR,4,3,19929,5,3
NAND,3,4,17812,5,7
OR,3,2,15743,7,5
OR,1,4,15654,10,8
NAND,2,2,18149,6,3
XOR,4,2,23102,6,3
AND,4,3,18127,7,8
NAND,5,4,22769,10,7
NAND,3,3,15763,5,6
OR,5,1,23817,5,7
NAND,2,2,18072,7,7
NOT,4,2,16835,10,7
AND,5,1,20813,5,9
OR,4,4,24287,7,8
XOR,1,1,19404,9,9
XOR,1,4,24131,5,5
AND,2,2,17112,7,8
XOR,2,2,15443,5,7
OR,3,2,20398,7,9
NAND,4,3,16163,8,9
OR,4,2,21648,9,4
OR,3,2,22923,7,8
OR,1,4,23990,7,8
OR,2,3,19652,7,4
NAND,4,4,17026,5,8
NAND,3,4,21295,6,3
NAND,4,4,17216,10,3
OR,5,2,21837,9,9
NOT,5,3,22717,8,8
OR,1,3,24623,8,5
NAND,2,4,18580,7,9
OR,1,4,23803,7,8
NOT,2,3,24405,6,8
OR,1,2,18126,10,5
NOT,3,1,19660,5,3
NOT,1,1,17739,10,6
XOR,2,3,19850,5,6
AND,2,3,22183,8,5
NOT,3,4,24017,7,6
NAND,1,3,24419,7,7
NOT,4,3,22081,5,9
NOT,2,2,20105,5,6
OR,2,1,17004,9,8
NAND,1,4,20567,9,5
NAND,3,3,20866,10,3
NAND,2,4,15809,9,5
XOR,2,3,24442,9,5
NAND,5,3,19143,9,9
XOR,1,1,17571,10,5
OR,5,1,23541,8,8
OR,3,3,20293,8,4
NAND,3,2,20114,9,6
NOT,1,3,24550,8,5
NOT,1,4,18910,5,6
OR,2,2,24227,7,7
NAND,1,1,22098,7,7
OR,5,4,21683,6,6
NOT,4,2,15810,5,6
NAND,1,1,24742,6,7
AND,1,1,21854,6,3
NOT,3,3,20213,8,3
NOT,4,1,20829,10,6
NOT,5,4,23592,5,8
NAND,5,2,24478,9,5
AND,2,3,21588,10,9
NAND,3,4,24096,6,4
AND,2,4,17415,5,5
NAND,1,2,22857,10,5
OR,3,2,22844,9,8
NAND,3,4,17000,7,8
NOT,5,1,23357,8,6
OR,4,1,23514,8,6
NAND,5,4,17594,6,3
OR,3,2,21909,7,5
OR,1,4,21211,6,6
XOR,1,1,22018,9,9
NOT,1,4,15178,8,7
AND,5,1,24893,6,8
AND,4,1,23225,8,5
NOT,5,2,15664,9,7
NAND,2,3,16343,8,8
OR,3,4,21255,7,8
AND,2,2,20837,5,6
AND,5,1,18962,6,6
AND,1,3,15852,6,3
AND,2,3,15376,7,5
NOT,4,4,18312,10,7
AND,3,1,21767,5,9
AND,5,4,23729,6,7
NOT,5,4,18640,5,5
XOR,4,1,22481,8,5
NAND,2,3,20621,8,6
NAND,5,4,18325,8,7
AND,3,3,21829,5,5
OR,3,4,15221,9,3
OR,4,4,18796,5,3
NAND,4,2,22840,5,4
XOR,1,3,21695,9,9
NAND,1,4,24045,5,5
XOR,1,2,15509,7,4
NAND,3,2,19459,8,3
NOT,3,2,21110,8,9
NOT,3,3,15904,6,3
NOT,4,4,19809,10,8
XOR,5,3,20387,6,9
NOT,3,1,18158,10,8
OR,3,3,16073,9,6
AND,3,1,20121,10,4
NAND,2,1,15160,5,6
NOT,5,1,19409,9,3
OR,5,1,23925,9,9
AND,3,1,18303,7,7
NOT,5,4,23380,10,9
NAND,1,1,16436,8,6
NOT,3,4,20941,5,5
OR,1,4,21466,9,7
NOT,3,3,16194,5,4
NAND,1,3,20095,5,9
NAND,5,2,15860,6,7
OR,2,2,19398,9,3
XOR,5,3,24942,8,3
NAND,1,2,19482,10,7
NOT,3,4,22280,6,9
NAND,3,4,19112,5,6
OR,2,3,22460,8,8
XOR,2,3,22818,10,6
NOT,5,2,20361,6,9
OR,2,3,15155,9,7
AND,3,1,21020,8,7
NOT,4,2,18857,9,3
NOT,1,1,18461,7,9
XOR,5,3,24955,8,5
AND,4,1,22113,5,8
XOR,5,4,15677,8,7
NOT,1,4,15060,5,7
OR,3,4,20648,7,6
NOT,3,2,22532,7,9
NOT,1,1,22252,7,3
OR,3,3,23524,6,4
NAND,4,4,17182,5,8
AND,3,4,21178,5,9
NAND,3,1,18490,5,7
OR,2,2,23203,5,7
XOR,1,1,19216,10,9
NAND,1,2,21900,6,8
AND,1,4,20503,10,5
NAND,3,3,24164,9,6
OR,4,3,20375,7,7
NOT,3,1,23915,6,6
XOR,2,1,20312,10,6
XOR,4,4,20098,8,5
NAND,5,1,17388,7,5
NOT,3,1,22709,10,6
OR,2,4,21112,6,3
NOT,3,2,16525,8,5
NOT,2,1,24657,9,5
NOT,2,4,19582,7,6
AND,4,4,19513,5,8
OR,4,2,23029,5,3
AND,5,1,22725,7,6
NOT,4,4,21585,8,6
AND,1,3,19460,9,5
NOT,4,1,23042,9,4
NOT,2,2,18791,8,6
XOR,5,4,22877,8,6
XOR,3,2,19094,5,5
NAND,4,1,15395,10,5
NAND,3,3,23843,10,9
AND,2,2,19454,6,4
XOR,1,4,18572,10,4
AND,1,3,21804,5,9
NAND,3,2,22930,9,6
NOT,1,3,19285,6,6
NOT,4,1,18824,9,7
NOT,2,2,20196,10,4
XOR,1,2,24673,7,5
OR,1,1,23865,10,7
XOR,3,4,19282,9,7
AND,5,1,19727,9,6
AND,2,2,19314,5,3
XOR,3,1,20335,5,5
NAND,5,4,16548,10,6
AND,1,1,20441,9,3
NOT,5,3,15852,10,9
OR,5,4,21396,6,7
NOT,2,1,20272,5,7
NAND,2,1,24605,10,9
XOR,5,2,23185,8,6
XOR,3,4,16737,5,6
OR,5,2,17859,9,6
OR,4,1,16101,9,5
OR,1,1,18107,9,9
XOR,1,1,21910,8,6
XOR,3,1,22651,7,9
NAND,3,4,23596,10,3
NAND,3,4,15460,7,6
AND,3,2,17845,5,8
XOR,4,3,18777,6,6
XOR,3,2,18139,7,9
AND,2,4,20639,6,7
NOT,4,2,19156,10,4
XOR,3,3,17516,7,7
XOR,3,3,24084,8,4
NOT,2,2,16191,8,5
AND,5,3,21782,7,4
OR,2,3,19583,9,5
XOR,2,3,22668,6,4
NOT,5,1,22450,9,4
NAND,1,4,22217,7,6
OR,2,4,22049,10,7
OR,2,3,16297,8,9
NAND,2,4,22471,6,4
NAND,1,2,22368,10,7
OR,1,3,22059,7,9
OR,2,4,15104,5,4
AND,3,4,19565,7,4
XOR,4,4,15435,8,4
XOR,1,3,18660,7,3
AND,5,4,21917,8,4
XOR,1,3,23373,5,7
OR,1,3,17732,5,5
XOR,4,1,15142,7,8
XOR,5,2,19461,7,9
OR,3,2,24955,8,6
AND,4,4,18709,7,5
NOT,5,1,16862,9,9
OR,2,4,24130,5,9
NAND,2,3,21262,9,9
OR,2,1,19964,10,5
NAND,1,2,17886,7,5
NOT,1,1,22787,5,8
AND,4,2,21240,6,7
XOR,4,1,20370,8,6
XOR,4,3,23604,10,9
XOR,5,4,24016,5,5
AND,5,4,22494,5,3
AND,1,2,21297,7,4
NAND,1,3,15193,9,6
XOR,2,3,24838,6,7
OR,4,4,17795,5,7
NAND,3,3,17305,8,5
XOR,5,3,21791,8,5
NOT,4,3,23377,5,8
OR,3,1,17696,10,6
XOR,5,3,21565,8,5
NAND,2,2,18925,6,7
OR,1,2,21188,7,9
NAND,5,3,22122,5,9
NAND,1,2,20821,7,7
AND,5,1,16200,10,4
AND,3,3,24493,10,8
AND,2,2,24822,7,3
XOR,4,4,18459,9,7
XOR,2,2,16429,5,3
NOT,1,2,21746,9,9
AND,5,2,17486,9,5
NAND,3,3,20947,8,7
AND,3,2,15996,8,8
NOT,5,4,21000,7,4
AND,2,2,17652,5,3
NAND,2,3,16226,10,6
OR,4,4,23368,7,6
NOT,5,4,21169,7,9
NOT,5,3,17714,10,4
NOT,2,2,15390,9,7
NAND,4,4,22845,10,9
NAND,2,4,19002,9,4
XOR,5,1,20042,7,5
OR,1,2,17418,10,5
XOR,4,2,16557,6,7
NAND,4,2,19186,10,5
NAND,4,2,17162,9,3
NOT,1,3,15868,5,9
NAND,4,4,17628,5,6
XOR,5,3,18169,7,4
XOR,2,3,23819,10,9
XOR,4,1,15000,6,4
OR,5,4,23512,10,9
AND,2,2,18577,6,7
NAND,3,1,24940,7,7
AND,5,1,23021,9,9
AND,3,2,19562,6,7
NAND,1,2,19605,9,7
AND,4,1,17617,8,9
AND,5,1,15921,9,6
NOT,3,4,22189,7,3
NOT,5,2,15025,5,4
XOR,4,4,24247,9,4
NOT,5,3,21585,5,3
OR,3,3,24761,5,8
NAND,5,1,24018,10,4
NOT,3,2,15970,5,4
XOR,3,1,24883,8,4
NOT,2,1,18970,9,4
NOT,1,1,23071,6,3
AND,3,3,17360,7,6
OR,5,2,24623,7,9
OR,5,3,20367,9,3
OR,1,2,15233,6,7
XOR,3,1,22962,9,4
NAND,3,3,20910,8,7
NAND,5,2,21972,6,8
NOT,2,1,17430,5,5
NOT,2,4,23349,6,3
OR,3,1,24477,8,7
NAND,2,4,17095,6,6
NAND,4,1,23585,5,3
XOR,1,1,23236,8,5
NAND,1,1,22223,8,6
XOR,1,2,22414,10,7
NAND,4,2,24201,9,6
AND,4,4,18976,5,5
XOR,2,4,16340,5,6
OR,2,1,15031,6,5
AND,1,1,24847,9,5
XOR,1,4,20638,6,4
XOR,2,4,18395,9,5
AND,1,3,19863,9,6
XOR,4,1,24748,9,6
NAND,4,4,16733,5,9
NAND,5,3,24318,5,8
NAND,4,2,23458,6,6
NOT,4,1,21042,8,7
NOT,1,2,20523,9,3
XOR,2,1,24944,9,3
AND,1,1,24247,7,3
AND,4,1,18918,9,4
NOT,5,2,21263,9,4
AND,5,4,21821,5,8
NOT,5,2,15766,6,6
NOT,1,1,20446,9,3
NOT,3,2,21922,6,5
NAND,3,4,15621,9,6
OR,2,3,18538,9,4
XOR,1,4,21531,10,8
AND,1,2,19988,10,5
AND,3,2,20480,9,8
OR,3,1,17165,7,9
OR,3,2,19385,5,9
XOR,3,2,23597,6,8
NOT,3,3,18201,7,7
OR,5,2,23481,5,8
AND,1,1,15826,5,6
XOR,2,3,15196,5,4
AND,1,2,17826,7,6
NOT,3,2,21415,6,3
NOT,1,4,17149,10,6
XOR,1,2,16498,10,5
NOT,3,1,17216,5,6
AND,5,1,16513,9,9
NAND,5,2,24856,8,3
NAND,3,2,24172,8,5
NAND,2,4,19369,10,4
OR,1,2,16075,10,4
NAND,4,4,17816,9,6
AND,4,3,19352,8,5
NOT,2,1,21604,6,4
AND,4,4,15346,6,3
OR,4,2,23081,9,6
NAND,1,3,21776,7,4
AND,1,2,17645,8,5
NAND,1,2,18789,9,8
NAND,3,1,19994,8,9
XOR,3,3,17993,9,5
NAND,3,1,23613,7,6
NOT,1,4,16802,5,9
NOT,5,4,20659,9,3
XOR,3,4,22096,8,9
XOR,3,2,16135,10,8
NOT,1,4,23858,5,3
OR,4,2,20604,5,7
OR,4,1,18240,8,8
NAND,5,3,23566,6,7
AND,5,4,24965,6,8
XOR,5,3,15675,8,8
NAND,3,1,23719,6,3
OR,4,2,19970,10,5
XOR,4,2,17407,5,4
XOR,4,2,20007,6,5
XOR,1,4,21767,8,7
AND,1,4,23916,10,3
NOT,1,1,20958,7,8
XOR,5,1,18501,10,9
OR,1,2,17285,6,3
OR,2,2,22663,7,5
XOR,2,3,16792,9,3
NAND,5,1,15472,5,5
AND,4,4,18607,6,6
AND,3,1,18994,8,5
OR,1,4,22474,9,6
AND,5,3,16072,5,6
XOR,4,3,23429,10,5
XOR,3,1,23081,7,8
NOT,2,2,20296,8,6
XOR,1,1,22725,6,3
AND,5,4,19803,10,6
AND,5,1,18497,8,4
AND,3,4,18691,9,4
NOT,3,1,21773,6,6
NAND,5,3,18905,8,4
NOT,4,1,19535,6,4
NAND,1,3,21395,5,4
XOR,1,2,20402,6,9
AND,5,1,15408,10,8
AND,5,2,19940,10,7
OR,4,4,24000,6,6
NAND,2,1,23182,10,6
AND,2,4,15624,10,6
NOT,1,1,15088,9,8
XOR,3,4,21134,7,8
NAND,4,4,15978,7,7
XOR,5,2,18993,10,8
AND,3,4,24958,10,9
NAND,1,2,18002,8,9
OR,4,1,18697,8,3
XOR,3,3,18900,8,9
NAND,2,1,16490,9,4
XOR,4,4,18078,7,7
AND,5,4,24884,5,3
NOT,2,3,23672,9,3
NAND,2,2,24644,6,6
NAND,3,2,17008,8,7
NOT,2,2,19139,8,5
NAND,5,1,23462,8,7
XOR,5,2,22679,7,7
NOT,4,1,20250,5,4
NAND,4,1,17640,10,4
OR,2,4,21466,6,5
XOR,2,3,20865,5,8
NAND,5,1,19346,10,4
NAND,1,2,19002,5,7
XOR,5,2,17727,8,4
AND,2,1,18933,10,9
AND,4,4,23201,7,7
OR,3,3,15324,5,8
AND,5,2,21281,7,6
NAND,2,3,18461,10,3
NAND,3,3,23323,10,3
XOR,2,1,15443,6,3
OR,2,1,24097,8,4
AND,4,4,22833,6,3
XOR,3,3,24803,5,7
NAND,3,3,15872,5,9
NOT,2,2,19698,10,3
NAND,2,1,19942,5,6
NOT,4,4,22596,5,3
OR,3,1,23602,5,8
AND,2,2,22701,6,4
OR,1,4,19789,6,3
NAND,5,1,22914,8,6
AND,3,2,16296,9,5
AND,1,3,21817,10,7
OR,5,3,16642,7,3
AND,3,4,20209,8,5
XOR,1,2,17329,8,6
OR,1,2,19038,8,7
AND,5,1,22816,6,5
OR,5,1,17134,5,3
NAND,5,2,19124,10,7
OR,3,4,15256,8,6
NOT,3,4,21195,9,7
XOR,4,1,22986,8,3
AND,2,3,18346,5,9
NOT,5,4,21168,10,4
NOT,1,2,20523,10,9
AND,4,4,23946,7,6
OR,5,4,15011,8,5
NAND,5,1,15461,6,4
XOR,4,1,18613,6,4
NOT,2,4,18416,9,5
AND,1,1,17666,7,4
AND,2,2,21461,8,7
NOT,2,3,15477,10,4
AND,4,4,23135,9,7
OR,1,2,18389,6,5
XOR,2,1,19240,8,8
XOR,4,1,24097,10,9
AND,5,2,24104,8,7
NAND,5,3,16127,5,6
OR,3,4,20880,8,5
NOT,1,1,23568,6,8
AND,2,2,23429,8,6
OR,1,3,22325,8,5
OR,5,1,18922,10,6
NAND,3,1,20850,6,3
XOR,1,4,15332,7,9
AND,4,1,21004,5,3
AND,4,4,19023,7,5
NOT,1,4,23105,7,5
NOT,2,3,18985,6,6
NOT,5,1,17716,5,3
XOR,1,2,24065,7,5
OR,1,3,16967,5,3
NOT,3,3,19555,9,9
XOR,2,3,16547,7,3
XOR,4,4,22458,7,4
OR,5,4,16654,6,8
OR,2,4,18909,5,6
NOT,2,2,18003,6,3
NOT,4,4,17488,7,8
AND,2,2,15090,9,8
NAND,1,2,22888,5,9
OR,5,1,17219,8,6
NAND,5,3,21755,7,9
XOR,1,3,19229,5,6
OR,5,3,20375,7,3
NOT,3,1,15501,9,8
OR,5,2,19969,9,8
AND,4,1,18243,10,7
OR,1,3,24757,5,6
OR,2,3,24763,7,6
NOT,5,3,15190,6,9
NAND,1,3,17115,6,6
NOT,5,1,22925,5,7
OR,5,3,18029,10,6
XOR,5,4,24710,8,9
AND,4,4,19699,7,4
NOT,1,3,24074,5,3
NOT,4,1,18171,10,6
NAND,2,2,20407,10,4
NAND,3,2,22141,10,9
NAND,4,3,23080,9,7
OR,4,1,22846,8,9
AND,1,3,22208,6,3
NOT,4,3,22459,10,5
OR,1,3,20094,9,3
AND,5,4,24315,6,6
NOT,2,3,23015,9,6
NAND,2,2,15198,8,6
NOT,3,2,17135,9,7
NAND,3,4,21228,7,3
XOR,5,2,18449,5,5
OR,4,2,24899,10,7
NOT,4,4,17291,6,9
NAND,3,2,20852,5,8
AND,5,4,18400,6,3
AND,5,1,19000,6,8
AND,5,3,24021,6,5
NAND,2,4,21535,5,3
NAND,1,4,19207,7,5
AND,5,3,17171,5,4
NOT,3,2,21395,8,5
OR,4,1,20245,7,6
NOT,3,3,24730,7,7
XOR,1,2,23303,10,8
OR,1,4,22685,5,4
NOT,3,4,17362,9,3
OR,5,1,23329,6,6
OR,4,1,15586,9,5
XOR,2,4,19833,6,8
AND,3,2,16320,6,6
NOT,3,3,20067,8,8
OR,3,4,24304,8,4
NOT,2,3,24278,7,8
OR,4,2,15114,9,9
NAND,5,4,17397,8,5
AND,4,2,21642,8,8
XOR,1,1,19620,7,3
NAND,2,4,20801,7,6
NAND,1,2,24047,9,9
NAND,4,3,19051,7,9
XOR,1,3,18659,7,4
NOT,3,2,21194,9,7
AND,2,3,18633,7,9
NAND,1,4,19480,9,4
AND,4,2,21863,6,5
NOT,4,3,15095,10,6
OR,4,1,19101,9,7
NOT,2,3,23343,5,3
XOR,2,3,23915,7,7
AND,1,2,16803,6,6
XOR,3,2,24705,5,8
OR,3,4,23797,7,5
NAND,1,2,19049,10,4
AND,4,3,19710,8,5
NAND,4,4,23772,8,7
AND,4,2,23039,10,9
OR,3,4,24080,5,4
NAND,5,4,22645,7,9
AND,2,2,18658,7,9
AND,2,1,18043,7,8
NOT,1,2,23107,8,6
OR,2,3,22548,7,5
NOT,3,2,20001,5,4
OR,5,3,24027,5,4
XOR,2,1,20895,7,8
OR,4,4,21427,6,6
OR,2,2,19151,8,6
XOR,4,3,17151,10,3
NAND,1,2,16202,10,5
OR,5,1,21493,5,5
NAND,4,4,21561,6,3
NAND,2,2,17415,8,8
NAND,3,2,21133,6,6
NAND,1,2,24886,5,9
OR,2,2,15604,10,8
NAND,1,2,21289,9,3
AND,1,2,21949,10,9
NAND,5,2,23990,9,4
NOT,5,2,15532,10,8
OR,5,3,23885,10,5
XOR,3,3,21120,9,4
OR,1,3,19719,10,5
OR,5,1,19037,7,3
AND,1,4,20658,7,4
NOT,1,3,21140,6,4
OR,1,4,17446,8,6
NAND,3,4,17976,7,4
NOT,4,1,19891,8,6
OR,1,3,20096,6,5
OR,2,4,19115,10,4
NOT,1,1,15545,8,5
NAND,5,4,24291,10,3
NOT,5,3,23181,6,7
NOT,4,2,18030,7,4
NOT,5,3,20581,10,6
NOT,1,2,20668,9,3
AND,3,2,24637,9,4
NAND,2,1,18694,10,4
OR,3,2,21925,10,3
XOR,2,4,22072,9,9
NOT,3,3,18987,9,3
NAND,5,2,24240,9,8
AND,4,4,17571,7,3
NAND,5,4,24530,6,7
NAND,5,1,17078,8,4
NOT,5,2,17235,5,3
NOT,3,3,19694,7,9
OR,5,2,21947,9,5
OR,3,4,16782,9,5
OR,2,3,15048,6,7
NAND,1,2,17218,6,8
NOT,5,1,24438,10,8
NAND,2,2,18483,5,8
OR,1,3,23482,6,9
OR,1,3,16789,5,9
NAND,5,2,17262,9,9
NAND,2,1,18031,9,9
NAND,3,1,17477,8,3
AND,4,4,21225,9,9
NOT,3,4,15664,9,9
AND,1,2,22309,6,6
XOR,3,1,19170,6,8
XOR,1,3,20098,9,7
NOT,4,4,17409,6,3
AND,5,1,24597,10,5
XOR,3,4,22547,5,4
XOR,4,4,21850,10,8
XOR,4,3,23396,10,8
AND,4,1,16452,9,7
XOR,5,2,16876,6,8
OR,1,1,22677,5,3
NOT,5,3,15613,6,3
XOR,4,2,24249,6,8
NOT,1,4,23994,5,8
AND,2,1,22347,10,5
XOR,1,3,23841,6,5
XOR,4,4,18345,9,4
XOR,3,3,17238,8,4
AND,2,3,17541,8,3
AND,5,2,19404,6,5
AND,5,2,22714,9,4
AND,5,1,22075,5,5
XOR,3,3,18864,10,9
NAND,2,2,20453,5,5
OR,1,3,17717,7,4
XOR,4,4,19874,9,7
AND,2,3,17030,7,7
AND,1,2,15153,10,4
NOT,1,2,21382,9,3
NAND,4,4,23108,7,9
AND,2,1,15124,7,7
AND,4,1,20006,9,6
OR,4,3,21223,9,4
NOT,1,2,17892,5,5
AND,2,4,23685,6,8
XOR,5,2,15445,6,6
XOR,3,2,19493,6,9
NAND,4,3,16912,9,8
NAND,4,2,21114,6,3
NAND,4,3,18163,8,7
NAND,1,2,17443,9,7
NAND,5,3,21865,6,7
XOR,1,3,15492,7,5
AND,3,2,20528,7,9
XOR,5,3,17096,7,4
NOT,3,2,20363,8,6
OR,3,4,19836,8,5
NOT,5,2,17142,7,4
AND,4,3,21019,6,9
NOT,4,2,21258,7,9
NOT,5,1,24496,8,8
AND,1,1,18048,8,7
XOR,4,4,22706,10,9
NAND,4,3,17686,10,6
XOR,3,3,16087,8,3
XOR,2,4,17081,7,3
OR,1,1,19643,7,8
OR,4,3,16644,8,3
XOR,1,2,17125,9,8
NAND,5,2,23119,9,3
NAND,1,1,20348,7,4
OR,3,1,22303,5,5
NAND,2,2,23688,7,7
NAND,1,1,23118,10,4
OR,5,3,17892,10,7
AND,5,3,19800,9,9
NOT,4,4,20974,6,9
XOR,4,4,22135,10,9
NAND,5,1,20880,9,3
AND,2,1,18136,8,6
XOR,3,3,16005,8,5
AND,2,1,23093,8,9
NAND,2,3,15939,8,3
NAND,1,3,23632,9,5
NOT,5,3,23082,7,4
XOR,2,1,24895,8,7
XOR,5,2,15265,10,7
AND,2,2,20024,5,6
NAND,2,2,21520,8,6
AND,4,2,23511,7,4
AND,2,2,16331,7,4
OR,2,3,21789,9,8
AND,2,4,19361,6,9
XOR,1,2,21094,9,6
